,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
15,ChristenUnie,2022,2022-06-24,"Zomertour nr. 2. 👇🏼 Vorige week waren we in Renswoude, vanavond zijn we met onze zomertour karavaan in Apeldoorn. Mooi om elkaar te ontmoeten!Tot de zomerstop zijn we nog in Nagele en in Tytsjerksteradiel. 👉🏼(LINK) (LINK)",no,opposition,left,middle
16,GroenLinks,2023,2023-02-14,@USER Kan gewoon.(LINK),no,opposition,left,progressive
17,ChristenUnie,2022,2022-12-29,💡Kijk voor onze actuele openingstijden tijdens rondom feestdagen op(LINK),no,opposition,left,middle
18,SP,2022,2022-02-28,"Poetin start een oorlog, de Oekraïners en gewone Russen moeten ervoor betalen - soms met hun leven.Pak de miljonairs rond Poetin waar het pijn doet, dus ook op de Zuidas. #HASHTAG (LINK)",yes,opposition,left,progressive
19,FvD,2022,2022-04-11,In de bestuurswereld van het kartel heerst een drang naar centralisatie. NL'se gemeenten worden tegen de wil van de bevolking in gefuseerd waardoor het gat tussen burger en politiek wordt vergroot. @USER houdt een betoog in het belang van de lokale gemeenschap. #HASHTAG (LINK),yes,opposition,right,conservative
20,PvdA,2022,2022-11-21,"""Minder sporters, minder kinderen die elkaar ontmoeten, minder sociale binding...""@USER vertelt bij @USER hoe belangrijk het is om sportclubs te helpen die in de problemen komen door de hoge energierekening en wat er nodig is om dat voor elkaar te krijgen. ⤵️ (LINK)",no,opposition,left,progressive
21,PVV,2023,2023-03-07,Als we die honderden miljarden Nederlands belastinggeld niet aan de hobby’s van Kaag zouden besteden maar aan lagere lasten voor Nederlanders dan zou het voor de mensen een stuk makkelijker zijn! #HASHTAG #HASHTAG #HASHTAG (LINK),yes,opposition,right,conservative
22,FvD,2022,2022-05-26,#HASHTAG wenst iedereen een fijne Hemelvaartsdag! (LINK),yes,opposition,right,conservative
23,PvdA,2022,2022-09-20,"""Veel wat er gebeurt lijkt omvangrijk, maar is voor één jaar en doet nog té weinig om mensen écht te belonen die hard aan het werk zijn. Doet nog té weinig voor de huurders. En het remt armoede wel wat af, maar voorkomt het niet.""De reactie van @USER op de #HASHTAG ⤵️ (LINK)",no,opposition,left,progressive
24,D66,2022,2022-08-13,Met minder stikstofuitstoot een goede boterham verdienen? Boer John liet aan @USER en @USER zien hoe hij dat doet. Een goed voorbeeld met perspectief voor de toekomst! 🐄(LINK),no,coalition,middle,progressive
25,SP,2022,2022-05-07,Luistertip!📻 @USER is straks te gast bij @USER over risicoprofilering door de overheid.Luister om 14:00 uur mee naar @USER (LINK),yes,opposition,left,progressive
26,PVV,2023,2023-03-03,Het moet afgelopen zijn met de discriminatie van Nederlanders. Je kan in dit land beter asielzoeker dan AOW-er zijn want dat krijg je alles gratis.#HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG (LINK),yes,opposition,right,conservative
27,FvD,2022,2022-07-03,Het regeringsbeleid omtrent KLM is ronduit een fiasco. Onze belangenpositie ten opzichte van Frankrijk is gekelderd en investeringsmogelijkheden worden structureel afgewezen. Wat zou onze regering wél moeten doen? @USER legt het uit. #HASHTAG (LINK),yes,opposition,right,conservative
28,FvD,2023,2023-02-27,"De #HASHTAG komt op 4 maart naar Oegstgeest, Zuid-Holland! Kom langs en ga in gesprek met onze volksvertegenwoordigers over het belang van de verkiezingen en de politieke visie van FVD.(LINK)",yes,opposition,right,conservative
29,GroenLinks,2022,2022-03-16,WOW. In de exit-poll van Rotterdam is PARTY de TWEEDE PARTIJ van de stad! Het beste resultaat in Rotterdam OOIT! 😱#HASHTAG,no,opposition,left,progressive
30,GroenLinks,2023,2023-03-07,"“Jaar na jaar haalt het kabinet de klimaatdoelen niet. Daarom zeggen PARTY en PARTY: kom met plannen om klimaatdoelen wél te halen.Doe je dat niet, dan kom je ons tegen in de Eerste Kamer. Wij doen niet mee met greenwashing van beleid.”- @USER #HASHTAG",no,opposition,left,progressive
31,PvdA,2023,2023-03-12,Linksom! 💪Vanavond om 22.15 uur gaat @USER in debat over onze plannen voor een socialer Nederland. 🌹Kijk mee op NPO 1. #HASHTAG 📺 (LINK),no,opposition,left,progressive
32,PvdA,2023,2023-01-30,"Premier Den Uyl zei het in 1973: waar visie ontbreekt, komt het volk om.Nederland kan wel wat Joop gebruiken. (LINK)",no,opposition,left,progressive
33,SP,2022,2022-10-22,"Maar natuurlijk staan er vandaag ook op meer dan 100 plekken PARTY'ers op straat. Idealen komen niet dichterbij met alleen maar praten, daar moet je ook wat voor doen 💪 (LINK)",yes,opposition,left,progressive
34,FvD,2022,2022-06-30,"De PARTY zegt wel voor asielstop te zijn, maar verschuilt zich achter een vermeende juridische onmogelijkheid waardoor de immigratie gewoon doorgaat. #HASHTAG roept PARTY op: laat zien dat je ballen hebt en stem volgende week voor een asielstop. (LINK) (LINK)",yes,opposition,right,conservative
35,SP,2022,2022-01-19,"PARTY motie voor reparatie koopkracht gepensioneerden zojuist aangenomen! Nu moet kabinet gaan uitvoeren. Wij zeggen:🍅 Behoud koppeling AOW/minimumloon🍅 Indexatie pensioenen🍅 Forse verhoging minimumloon, op naar 15 euro#HASHTAG #HASHTAG #HASHTAG (LINK)",yes,opposition,left,progressive
36,ChristenUnie,2022,2022-05-02,"Tweede Kamerlid @USER schreef voor het jubileumboek ""Ik ga met je mee"" van de Evangelische Hogeschool een bijdrage over het zijn van 'handen van hoop' voor de wereld. Een mooi inkijkje in de drijfveren van Mirjam! Je leest haar hele blog hier 👉 (LINK) (LINK)",no,opposition,left,middle
37,GroenLinks,2022,2022-03-13,Vanavond gaan we weer in gesprek over de #HASHTAG vanaf 19.30u bij TivoliVredenburg in Utrecht. Met o.a. @USER @USER van @USER en @USER van @USER zijn? Meld je snel aan! 👇(LINK),no,opposition,left,progressive
38,PVV,2023,2023-01-15,Een smerige moslimterrorist die #HASHTAG Die bij haar arrestatie luidkeels 'Allah Akbar' riep. In de rugzak van haar man werd bij hun arrestatie een geladen machinepistool gevonden. Ze vaardigde zelf fatwa’s uit. En nu weer naar de PARTY….Lees 👉 (LINK),yes,opposition,right,conservative
39,GroenLinks,2022,2022-05-01,"Een strijdbare #HASHTAG Er moet nog veel gebeuren voor meer vertrouwen, veiligheid en gelijkheid op de werkvloer. Voor bestaanszekerheid voor iedereen, het tegengaan van schijnzelfstandigheid en voldoende ouderschapsverlof. Meer lezen? 👉 (LINK) (LINK)",no,opposition,left,progressive
40,D66,2023,2023-02-03,Hoe blijft onze staatssecretaris Mijnbouw Hans Vijlbrief zich inzetten voor de Groningers? Wat is zijn kijk op populisme? En heeft hij een favoriet spreekkoor in De Kuip?Je ziet het in deze video👇 (LINK),no,coalition,middle,progressive
41,FvD,2022,2022-06-03,"Altijd het laatste nieuws direct in je mailbox. Met de #HASHTAG blijf je op de hoogte van alles wat onze partij doet: bijdragen in de Kamer, de meest spectaculaire evenementen en nog veel meer. Abonneren doe je in minder dan 30 seconden via (LINK)",yes,opposition,right,conservative
42,D66,2022,2022-05-09,"🇪🇺 Op de Dag van Europa vieren we meer dan 70 jaar Europese eenwording. De vraag is niet meer of we samenwerken, maar hoe we dat doen. Vandaag kijken we ook vooruit naar een vrijer Europa.#HASHTAG (LINK)",no,coalition,middle,progressive
43,PVV,2022,2022-03-29,"Vleestaks, vliegtaks, hou op met die #HASHTAG Geef de mensen eindelijk maar eens een forse compensatie voor de hoge inflatie, onbetaalbare energierekening en dure boodschappen ipv allemaal onzinnige extra lastenverzwaringen! (LINK) via @USER",yes,opposition,right,conservative
44,FvD,2022,2022-03-03,Het Westen trekt ons een oorlog met Rusland in en legt sancties op. De prijzen in Nederland stijgen hierdoor tot nieuwe recordhoogten - het leven wordt onbetaalbaar.Het kan Rutte niets schelen; Nederlanders moeten volgens hem ''maar even geduld hebben''. #HASHTAG #HASHTAG (LINK),yes,opposition,right,conservative
45,PVV,2022,2022-05-10,"En in zo’n situatie een olieboycot tegen Rusland afkondigen is oerdom. Het brengt onze economie nog meer in de problemen en de Russen verkopen hun olie toch wel elders, mogelijk zelfs tegen een hogere prijs, wat alleen maar meer geld voor hun foute oorlogsmachine oplevert.",yes,opposition,right,conservative
46,SP,2022,2022-03-07,Meer weten over hoe we lokaal de markt uit de zorg halen? Kijk hoe we dat doen in #HASHTAG,yes,opposition,left,progressive
47,FvD,2022,2022-10-19,De schorsing gaat niet om nevenactiviteiten. Evenmin om inkomsten. Het gaat om de vrijheid en de onafhankelijkheid van het Kamerlid. #HASHTAG #HASHTAG,yes,opposition,right,conservative
48,CDA,2022,2022-12-25,"Namens #HASHTAG wensen wij iedereen zalige, gezegende en vooral hoopvolle kerstdagen toe. 💚 (LINK)",no,coalition,middle,conservative
49,CDA,2023,2023-03-07,"Oplossingen voor heel Nederland: ""Wij sluiten geen oplossingen uit. Wij willen het migratievraagstuk aanpakken en oplossen."" @USER 🗳 Stem 15 maart PARTY. (LINK)",no,coalition,middle,conservative
50,FvD,2022,2022-10-08,Er wordt een onderzoek opgetuigd om de verantwoordelijke voor de Nord Stream-sabotage te ontmaskeren. #HASHTAG vindt dat Amerika daar als mogelijke dader geen rol in mag vervullen. Rutte ontraadt onze motie en blokkeert daarmee een onafhankelijk onderzoek. (LINK),yes,opposition,right,conservative
51,GroenLinks,2022,2022-05-31,"""We hebben dit referendum uitgeroepen om te verkennen: wat voor draagvlak is er nou in de partij voor verdere samenwerking met de PARTY?""Partijvoorzitter @USER over het #HASHTAG (dat op 2 juni start voor onze leden).(LINK) (LINK)",no,opposition,left,progressive
52,PVV,2022,2022-11-19,"Wat een elitaire wereldvreemdheid. Mensen kunnen hun boodschappen en energierekening niet betalen en Kaag zegt: langer werken en hogere belastingen!Stop maar met die miljarden kostende stikstof- en klimaatwaanzin, met de onbetaalbare asieltsunami, bijdrage EU + hulp aan Afrika! (LINK)",yes,opposition,right,conservative
53,FvD,2022,2022-09-09,"Ondernemers gaan gebukt onder een enorme belastingdruk. Logisch dat ze op zoek gaan naar fiscale trucjes om daaraan te ontsnappen. De prioriteit van de overheid zou niet moeten liggen bij het ophalen van meer geld, maar bij het beperken van de uitgaven. @USER #HASHTAG (LINK)",yes,opposition,right,conservative
54,CDA,2022,2022-09-28,@USER is vanavond voorgedragen als onze lijsttrekker voor de Eerste Kamer! Om Theo wat beter te leren kennen bezochten wij het bourgondische hart van ons land: Maastricht. (LINK),no,coalition,middle,conservative
55,PVV,2023,2023-03-07,Een boerendemonstratie zonder  tractoren 🚜 en landbouwvoertuigen. De burgemeester van Den Haag voert braaf het anti-boeren beleid van zijn partij - de PARTY - uit. Schandalig! (LINK),yes,opposition,right,conservative
56,PVV,2022,2022-08-14,Goedemorgen Nederland! ❤️ (LINK),yes,opposition,right,conservative
57,D66,2023,2023-03-13,@USER @USER En zo is het! ^Ivo,no,coalition,middle,progressive
58,CDA,2022,2022-03-08,"#HASHTAG hebben nog een flinke weg te gaan naar echte gelijkwaardigheid. We hebben nog steeds een flinke dosis extra talent, doorzettingsvermogen en opofferingsgezindheid nodig. En een beetje hulp."" - Minister @USER 🗞️ (LINK) (LINK)",no,coalition,middle,conservative
59,FvD,2022,2022-07-20,☀️ Zomerdeal (15% korting): twee geweldige titels voor een speciale prijs.Het Coronabedrog - @USER Afgrondelijk - Sid LukkassenBestel nu voor slechts 40 euro: (LINK) (LINK),yes,opposition,right,conservative
60,SP,2023,2023-02-05,Kijktip! 📺Morgenochtend is @USER bij Goedemorgen Nederland over het referendum.Kijk vanaf 07.30 uur mee via @USER (LINK),yes,opposition,left,progressive
61,D66,2023,2023-03-05,"""Wat mij betreft zijn er geen taboes als het gaat om nieuwe klimaatmaatregelen. Alle opties liggen op tafel. We hebben geen andere keuze. We hebben niet de luxe om oplossingen uit te sluiten. Volgende generaties wachten op het antwoord van de politici van nu."" (LINK)",no,coalition,middle,progressive
62,PVV,2022,2022-11-01,Veel respect voor @USER (LINK),yes,opposition,right,conservative
63,GroenLinks,2022,2022-05-17,Nieuws!Het partijbestuur van PARTY schrijft begin juni een politiek ledenreferendum uit over de vraag of het wenselijk is dat PARTY een gezamenlijke Eerste Kamerfractie vormt met de @USER leden krijgen hier snel meer informatie over.(LINK),no,opposition,left,progressive
64,GroenLinks,2023,2023-03-12,"Heb jij een vraag aan PARTY? Over onze standpunten, de verkiezingen van 15 maart of een ander onderwerp?Ook vandaag zit ons team weer klaar op de ZWEEFLIJN. App ons en we antwoorden binnen een paar minuten! 📲(LINK) (LINK)",no,opposition,left,progressive
65,FvD,2022,2022-10-13,"Terwijl de veiligheid van de coronavaccins wereldwijd ter discussie staat, wil Kuipers haast maken met een nieuwe prikronde. Juist nu is terughoudendheid gepast. Een nieuwe vaccinatiecampagne is, zeker zolang er geen verklaring is voor de oversterfte, zeer onverstandig. #HASHTAG (LINK)",yes,opposition,right,conservative
66,PVV,2022,2022-09-13,"De sadistische arrogantie van dit kabinet drijft mensen tot wanhoop. We moeten nu maatregelen nemen om mensen financieel te helpen. Niet volgende maand of volgende week, maar NU!#HASHTAG #HASHTAG #HASHTAG #HASHTAG (LINK)",yes,opposition,right,conservative
67,SP,2022,2022-02-18,Kijk morgen om 12.00 uur hier mee naar de campagne-aftrap voor de gemeenteraadsverkiezingen! #HASHTAG 🍅(LINK),yes,opposition,left,progressive
68,PVV,2022,2022-06-04,Verschrikkelijk. Geen woorden voor wat een onmenselijke misdaad en onmetelijk verdriet voor de familie en nabestaanden van Gino. Heel veel kracht en sterkte en we denken allemaal aan jullie.,yes,opposition,right,conservative
69,PvdA,2022,2022-06-11,“De opwarming van de aarde dreigt letterlijk de vaste grond onder onze voeten weg te slaan en bedreigt daarmee ons bestaan. De planeet redden is bittere noodzaak en duldt geen uitstel. Een groene toekomst is een belofte van vooruitgang.”@USER #HASHTAG (LINK),no,opposition,left,progressive
70,D66,2022,2022-03-16,@USER @USER Veel dank! ^Kim (LINK),no,coalition,middle,progressive
71,PVV,2022,2022-03-04,Hier in Budapest waar ik nu ben valt het op dat op stations waar ze aankomen en in het centrum waar ze rondhangen heel veel “vluchtelingen” uit de Oekraïne vaak donkere Afrikanen zijn. Waarom zien we daarover niks in de media?,yes,opposition,right,conservative
72,GroenLinks,2022,2022-09-21,Bekijk hier het hele interruptiedebat tussen @USER en @USER terug:#HASHTAG,no,opposition,left,progressive
73,SP,2022,2022-04-05,"Het nieuwe STAP-opleidingsbudget blijkt voor veel mensen nadelig te werken. Onaanvaardbaar, vertelt PARTY-Kamerlid @USER bij @USER die zich laten omscholen voor beroepen waar tekorten zijn moet het makkelijker worden gemaakt, niet moeilijker. (LINK)",yes,opposition,left,progressive
74,FvD,2022,2022-08-05,Dit beleid zorgt er volgens berekeningen van het kabinet zelf voor dat ruim 11.000 #HASHTAG hun bedrijf moeten sluiten en nog eens 17.000 fors moeten inkrimpen. De totale vernietiging van onze agrarische sector. (3/4) #HASHTAG,yes,opposition,right,conservative
75,PVV,2022,2022-05-26,"Honderden reacties stromen al binnen. Hartverscheurend leed.Mensen trekken het vaak niet meer, alles wordt duurder.Blijf reacties sturen naar koopkracht@USER zodat we Rutte en Kaag bij het Kamerdebat kunnen confronteren met de werkelijkheid van de gewone man en vrouw!#HASHTAG",yes,opposition,right,conservative
76,D66,2023,2023-02-23,"“Ik roep het kabinet op om al in april aan te geven of zij piekbelasters zal uitkopen of vergunningen zal intrekken."" (LINK)",no,coalition,middle,progressive
77,PVV,2022,2022-10-27,Hij is vandaag jarig onze vriend en collega @USER veel mooie gezonde gelukkige en succesvolle jaren nog Gidi! (LINK),yes,opposition,right,conservative
78,GroenLinks,2022,2022-08-29,"""Je hebt het Amerikaanse model, gebaseerd op winst maken en je hebt China, waar de overheid zoveel mogelijk invloed probeert uit te oefenen op hun mensen. Juist Europa kan een statement maken met AI-regelgeving waar de mens centraal staat."" @USER bij @USER",no,opposition,left,progressive
79,FvD,2022,2022-04-25,Zelensky bezit een fortuin: verschillende schattingen komen uit rond de 850 miljoen. Het grootste deel hiervan kreeg hij pas na zijn aantreden als president. Waar komt dat geld dan vandaan? En belangrijker nog: waar gaat het heen? #HASHTAG (LINK),yes,opposition,right,conservative
80,CDA,2022,2022-11-05,"Anja Gerashchenko, oud-burgemeester in Oekraïne, tijdens het meditatief moment. #HASHTAG hier haar volledige toespraak: (LINK) (LINK)",no,coalition,middle,conservative
81,PVV,2022,2022-02-09,Campagneoverleg PARTY 😁 (LINK),yes,opposition,right,conservative
82,FvD,2022,2022-02-16,"@USER Let je even op, Maarten? #HASHTAG (LINK)",yes,opposition,right,conservative
83,FvD,2023,2023-03-08,"Gezond eten, kan gewoon. Stem #HASHTAG 15 maart. (LINK)",yes,opposition,right,conservative
84,GroenLinks,2022,2022-03-31,"""Zelensky vraagt: stop met de import van Russische olie en gas.Dat gaat enorme impact hebben op onze economie, op onze levens.Maar als het ons echt menens is, als we naast Oekraïne staan, dan pakken we hier op door.""@USER in debat over de toespraak van @USER (LINK)",no,opposition,left,progressive
85,SP,2022,2022-11-11,Heb je zwaar werk? Dan ben jij wisselgeld bij het #HASHTAG Ondanks afspraken pensioenakkoord is er geen (!) regeling om op tijd te stoppen met werken bij zware beroepenStop de koehandel met pensioen van👩‍⚕️👩‍🚒👮👷‍♂️👨‍🔧Strijd mee (LINK) (LINK),yes,opposition,left,progressive
86,PvdA,2023,2023-02-27,Live vanuit Amsterdam 🚨Hoe pakken we de groeiende ongelijkheid in onze maatschappij aan?@USER en @USER gaan er vanavond om 19:30 uur over in gesprek.Kijk hier online mee: (LINK),no,opposition,left,progressive
87,FvD,2023,2023-03-15,Nog maar 3 uur om het verschil te maken! Ga stemmen en stem #HASHTAG 🏛️ (LINK),yes,opposition,right,conservative
88,CDA,2023,2023-02-11,Als de laatste buurtsuper of het dorpscafe verdwijnt doet dat wat met je dorp of wijk. Samenleven kan niet zonder gemeenschappelijke voorzieningen. Daarom wil het PARTY een nationaal Gemeenschapsfonds om dit soort voorzieningen te behouden en gemeenschappen te versterken. 1/4 (LINK),no,coalition,middle,conservative
89,CDA,2023,2023-02-26,"@USER @USER Als we het stikstofprobleem willen oplossen, dan moet er geen zwaard van Damocles boven de overlegtafel hangen. #HASHTAG (LINK)",no,coalition,middle,conservative
90,SP,2022,2022-02-07,"In Kruispunt vertelt Maria hoe onze @USER haar heeft geholpen in het toeslagenschandaal. Ook familie, vrienden en collega's van Renske zijn aan het woord.Kijk de aflevering in het teken van Renske Leijten hier terug.👇(LINK) (LINK)",yes,opposition,left,progressive
91,FvD,2022,2022-09-29,"De hypocrisie van het kartel is ongeëvenaard. Er worden aan de lopende band beledigingen en insinuaties jegens #HASHTAG gestrooid. De Voorzitter doet er níets aan. Maar als @USER en @USER feiten benoemen, eist het kartel dat de Voorzitter hen het woord ontneemt. (LINK)",yes,opposition,right,conservative
92,PVV,2022,2022-08-31,Je kan beter asielzoekers blokkeren. (LINK),yes,opposition,right,conservative
93,ChristenUnie,2022,2022-09-21,De overheid van de jaren ‘90 wilde concurrentie aanjagen en de markt z'n werk laten doen. Daarom hebben we nu 60 aanbieders. Ik vind dat we meer regie moeten krijgen over onze energievoorziening. We moeten terugkeren op onze neoliberale schreden.- @USER tijdens #HASHTAG,no,opposition,left,middle
94,D66,2022,2022-01-11,We moeten zoeken naar een manier om corona een plek te gaan geven in de samenleving. Dat is niet alleen iets voor de volksgezondheid. Dat moeten we met elkaar doen.Minister Ernst Kuipers (@USER over zijn nieuwe rol. 👇 (LINK),no,coalition,middle,progressive
95,PVV,2023,2023-02-12,"Trap niet in die fake-tweestrijd tussen PARTY en GL/PARTY want na de verkiezingen gaan ze samen verder en zal GL/PARTY het wanbeleid van Rutte en Kaag aan een meerderheid helpen in de Eerste Kamer. Nog meer asiel en stikstofwaanzin, nog meer ellende. Dus #HASHTAG en #HASHTAG",yes,opposition,right,conservative
96,PVV,2022,2022-08-19,Koopkracht hard onderuit. Dat weten we al een half jaar en het is crimineel dat Rutte en Kaag er nog niets aan hebben gedaan. De PARTY deed vele voorstellen. En ondertussen geven ze wel miljarden uit aan ‘n tsunami aan gelukzoekers die ze Nederland door de strot duwen. #HASHTAG,yes,opposition,right,conservative
97,PVV,2022,2022-09-21,"PARTY is de grootste vriend van Poetin. Ons eigen gas verpatst, waardoor wij gas moeten importeren tegen een hoge prijs! En onze eigen mensen zijn de klos. #HASHTAG #HASHTAG #HASHTAG (LINK)",yes,opposition,right,conservative
98,FvD,2022,2022-03-13,De premiére van de onthullende documentaire van @USER is afgelast door Pathé. Belachelijk dat ze op basis van valse aantijgingen meegaan in deze cancel culture. Daarom zullen we de documentaire zelf uitbrengen. De waarheid moet aan het licht komen! #HASHTAG (LINK),yes,opposition,right,conservative
99,GroenLinks,2022,2022-04-26,"Vandaag is ons Tweede Kamerlid @USER jarig! Van harte gefeliciteerd, Corinne. 🥳 (LINK)",no,opposition,left,progressive
100,PvdA,2022,2022-12-13,"""Goed wonen is een sociaal en politiek grondrecht.""Cody pleit voor een herwaardering van sociale woningen en laat zien dat we met de juiste politieke keuzes kunnen toewerken naar een herwaardering van de volkshuisvesting - sociaaldemocratische stijl. 🏡Mis zijn lezing niet! (LINK)",no,opposition,left,progressive
101,FvD,2022,2022-03-08,"Morgenavond 9 maart: ga het gesprek aan met @USER en onze lokale lijsttrekkers over onze plannen voor de gemeenten, de stijgende energieprijzen en de huidige situatie in Oekraïne. Het wordt een spectaculaire avond. Wees erbij! #HASHTAG (LINK)",yes,opposition,right,conservative
102,SP,2023,2023-02-20,"De PARTY heeft onze energie verkocht aan de markt en wil nu de regie terug. Wij zeggen: pak onze energie terug van de aandeelhouders, verlaag de rekening en nationaliseer de energie. Al ruim 120 duizend mensen tekenden de Volkspetitie. Omdat het anders moet! (LINK) (LINK)",yes,opposition,left,progressive
103,SP,2023,2023-02-18,Werden resultaten door Defensie aangepast om tegen de wil van de bevolking en de gemeente in toch een radarstation in Herwijnen te plaatsen? PARTY-fractievoorzitter in de Eerste Kamer Rik Janssen wil de onderste steen boven hebben en stelde er vragen over 👇(LINK),yes,opposition,left,progressive
104,GroenLinks,2022,2022-06-14,@USER @USER Heb je het artikel gelezen? Ook de aantijgingen over Corinne kloppen niet namelijk.,no,opposition,left,progressive
105,FvD,2023,2023-02-25,VANAVOND om 19:30 uur is onze Campagne Tour in Zeeland! #HASHTAG Kamerleden @USER en @USER gaan met u in gesprek over de toekomst van Nederland. Kom ook!TICKETS: (LINK),yes,opposition,right,conservative
106,FvD,2023,2023-02-22,"Wat een mijlpaal vlak voor de verkiezingen - 160.000 abonnees op YouTube! Abonneer je ook op ons kanaal en mis geen enkel debat meer van FVD. Op naar 15 maart, stem #HASHTAG 🏛(LINK) (LINK)",yes,opposition,right,conservative
107,D66,2023,2023-03-13,"@USER @USER Wij maken ons net als jij veel zorgen om het effect van de stijgende energieprijzen voor de mensen met lage- en middeninkomens. Daarom neemt het kabinet veel maatregelen om te helpen. De accijnzen en het btw-tarief op brandstof gaan omlaag, 1/2",no,coalition,middle,progressive
108,GroenLinks,2022,2022-05-12,"Steeds meer mensen komen niet rond, terwijl de allerrijksten hun vermogen steeds sneller zien groeien en daar nauwelijks belasting over hoeven te betalen.Het kabinet moet meer doen om de grote problemen in onze samenleving aan te pakken: (LINK)",no,opposition,left,progressive
109,FvD,2022,2022-05-30,"Om de klimaatdoelen te halen wordt niet alleen een onbetaalbare energietransitie in gang gezet, maar ook een alomvattend controlesysteem opgetuigd. @USER sprak er uitgebreid over bij het Ongehoord Nieuwscafé. Beluister de volledige uitzending: (LINK) #HASHTAG (LINK)",yes,opposition,right,conservative
110,GroenLinks,2022,2022-02-20,"""Dit worden woonverkiezingen.In heel Nederland gaat het erom: blijven  beleggers en pandjesbazen woningen wegkapen? Of zorgen we ervoor dat zoveel mogelijk mensen betaalbaar kunnen wonen?""- Haagse PARTY-lijsttrekker @USER op de #HASHTAG over de wooncrisis 💪 (LINK)",no,opposition,left,progressive
