,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
10,FvD,2022,2022-03-12,Morgen in Hengelo: ga in gesprek met @thierrybaudet over de veranderingsagenda van #FVD. Nog maar een paar dagen tot de verkiezingen - onze kans om het tij te keren! Kom ook:https://t.co/CXvEHHFn7H https://t.co/LX3PA7MXW9,yes,opposition,right,conservative
11,BBB,2023,2023-01-01,@MirjamNelisse @JohanSmits6 @VVD Beter lezen dan 😉,yes,opposition,right,conservative
12,Volt,2022,2022-12-05,"Frankrijk verbiedt binnenlandse vluchten naar bestemmingen die binnen 2.5u te bereiken zijn per trein. Een stap in de goede richting, maar het kan ambitieuzer, want de meeste binnenlandse vluchten blijven buiten schot. 1/2https://t.co/jMRjz1Ozo4",no,opposition,middle,progressive
13,BBB,2023,2023-03-05,Waar staat dat we het niet eens zijn met deze correctie @svanweyenberg? Het punt is dat het geen enkele invloed heeft op de kosten voor een individuele burger. Juist dat spreadsheet management drijft meer dan een miljoen burgers de armoede en schulden in. Dat wil je niet zien....,yes,opposition,right,conservative
14,DENK,2022,2022-07-11,@Ron_Warris @Thefixe41350411 We hebben contact met Dutchbatters.  Ook zij zijn verheugd met deze excuses omdat het de situatie officieel bevestigt.,no,opposition,left,progressive
15,BBB,2022,2022-10-26,@PGKroeger @erikpjverweij Verslik je niet in je zelf bedachte fluitjes!,yes,opposition,right,conservative
16,BBB,2022,2022-07-25,@ANanninga @ManonSniper @JuisteAntwoord @lientje1967 @Eerdmans @wef Wij komen niet net uit een ei hoor 😉,yes,opposition,right,conservative
17,PVV,2022,2022-11-27,Goedmorgen Nederland! ❤️ https://t.co/AiuxYeMAOC,yes,opposition,right,conservative
18,JA21,2022,2022-10-20,Zelfs PvdA burgemeester Sharon Dijksma vraagt zich af of zij niet strenger is dan de huidige VVD staatssecretaris op asiel. Wij weten het wel zeker. JA21 is het enige realistische alternatief op rechts.#Asielstop #DeensModel https://t.co/T7vmKlRSBS,yes,opposition,right,conservative
19,PvdD,2022,2022-10-19,"Kersvers PvdD-Kamerlid @EvaAkerboom windt er geen doekjes om: we moeten alles op alles zetten om de biodiversiteitscrisis te stoppen. ""Als meest veedichte land ter wereld moet Nederland echt die voortrekkersrol pakken"". https://t.co/8cEJdYxIyx",no,opposition,left,progressive
20,CDA,2023,2023-03-05,"Vrede, veiligheid en democratie zijn niet vanzelfsprekend. Daar moeten we ons elke dag samen voor inzetten. @HankeBruinsSlot liep daarom met andere veteranen en CDA’ers de Sunset March ter ere van de geallieerden die hebben gevochten voor onze vrijheid. #minderikmeerwij https://t.co/c0GiGVp5cw",no,coalition,middle,conservative
21,PvdD,2022,2022-10-12,"Inbreng 2018: ""Onthoud te allen tijde dat het belang van de industrie niet ter zake doet voor de gezondheid en het welzijn van de bevolking. Maak daarom harde afspraken. Voor de volksgezondheid.""",no,opposition,left,progressive
22,JA21,2022,2022-05-25,"Het kabinet blijft dweilen met de kraan open en zet gemeenten het mes op de keel om asielzoekers op te vangen. In plaats van de instroom te stoppen, wordt de lokale democratie buitenspel gezet. Onacceptabel. @Eerdmans heeft direct een debat aangevraagd met @StasJenV",yes,opposition,right,conservative
23,BBB,2022,2022-06-12,@MrMaarten42 @tonfvandijk Bij het grote boerenprotest werden oa gratis broodjes hamburger uitgedeeld,yes,opposition,right,conservative
24,PVV,2022,2022-01-13,Ok ik stop nu met posten van doodsbedreigingen.Dit was van de laatste 24 uur. Maar NL moet inzicht krijgen in de aard/omvang ervan. Er zijn eerder Pakistanen hierheen gekomen. Maar de autoriteiten doet niets.Dat u het weet voor het geval ze me een keer te pakken krijgen.,yes,opposition,right,conservative
25,SGP,2022,2022-05-17,Goed nieuws dat de Eerste Kamer vanmiddag de stekker uit de tijdelijke coronawet heeft getrokken! 🔌,no,opposition,right,conservative
26,Volt,2022,2022-10-06,"Vandaag vindt de eerste top van de Europese Politieke Gemeenschap plaats in Praag. Regeringsleiders van EU landen én daarbuiten praten over vrede, veiligheid en welvaart. 1/6https://t.co/gSv4kskakT",no,opposition,middle,progressive
27,FvD,2022,2022-11-01,"👩🏼‍🎓 Ben je op zoek naar een unieke, dynamische stageplek? Heb je affiniteit met politiek en de idealen van onze partij? Dan zoeken we jou!  Sinds kort is de Tweede Kamerfractie van #FVD een erkend leerbedrijf. Bekijk hier onze stageplekken! ⤵️https://t.co/1k4RdjlQFD https://t.co/w1K3rIBMAN",yes,opposition,right,conservative
28,CDA,2022,2022-07-01,Op #KetiKoti staan we stil bij de verhalen en het belang van vrijheid en gelijkwaardigheid.,no,coalition,middle,conservative
29,JA21,2023,2023-03-01,"“We zitten in een stikstofklem door CDA en VVD,” zegt Fries Statenlid en beleidsmedewerker in de Tweede Kamer @MGoudzwaard058. “Daarom is het ook zo goed dat JA21 en BBB een stikstofplan hebben geschreven. Anders blijven de provincies op slot.” Ook daarom: #HetMoetEchtAnders https://t.co/NqzhRXqS3K",yes,opposition,right,conservative
30,DENK,2022,2022-01-18,"‘Rutte als moraalridder en Wilders als haatzaaier richting Nederlanders met een dubbele nationaliteit, wat een dag! Waar het echt om draait? Betaalbare woningen, betaalbare zorg, en compensatie studieschulden door het leenstelsel.’ @f_azarkan tijdens #regeringsverklaring #azarkan https://t.co/PrATYdPt1r",no,opposition,left,progressive
31,JA21,2022,2022-10-08,"Van #luchtvaart tot #MKB, van #landbouw tot openbaar vervoer. Rutte IV sloopt alles. Zelfs de internationale pers merkt op dat #Schiphol -ooit één van Europa’s beste luchthavens- is verworden tot een ongekende chaos. #JA21 wil de luchtvaartsector koesteren niet afbreken. https://t.co/9hAoSffmhX",yes,opposition,right,conservative
32,VVD,2022,2022-04-16,Wie is @ericvanderburg en hoe gaat hij te werk? Het FD over Staatssecretaris van Justitie en Veiligheid Eric van der Burg. 👇https://t.co/InUKXg3Nbs,no,coalition,right,conservative
33,DENK,2022,2022-06-13,❌ D66 geeft het eindelijk toe. Ze hebben het afgelopen jaar #gefaald! Farid Azarkan benoemt de feiten tijdens het 2021-verantwoordingsdebat. https://t.co/gvg2mGTjeS,no,opposition,left,progressive
34,BBB,2022,2022-07-07,Het Stikstofbeleid is onwettig en dus onhoudbaar:,yes,opposition,right,conservative
35,PVV,2022,2022-10-24,Zoutkamp ❤️ https://t.co/n6w4Aisezy,yes,opposition,right,conservative
36,D66,2022,2022-03-14,@RSchiffers @RobJetten Genoeg plannen waar je energie van krijgt! ^Kaj 🔌 https://t.co/7DpuGzLePp,no,coalition,middle,progressive
37,GroenLinks,2022,2022-05-16,"""Ik ben groen en links, omdat de uitbuiting van mensen leidt tot uitputting van de aarde. In ons economisch systeem telt alleen de waarde van financiële winst. Daarom is het zo belangrijk om onze linkse idealen weer te laten spreken.""@JesseKlaver #LinkseToekomst https://t.co/byUzhfXxb5",no,opposition,left,progressive
38,JA21,2022,2022-03-06,"JA21 roept het kabinet op om de gaswinning in Groningen te verlengen met minimaal drie jaar. De schandalige Russische invasie in Oekraïne dwingt ons om nieuwe keuzes te maken. Doen we dat niet, dan zal het leven voor veel Nederlanders onbetaalbaar worden.https://t.co/0DnRQPGKyk https://t.co/WpVb4N4K6m",yes,opposition,right,conservative
39,PvdD,2022,2022-02-28,De Partij voor de Dieren roept op tot een boycot van olie en gas. Solidariteit boven handelsbelangen 🇺🇦🙏#Oekraniedebat #UkraineRussiaWar @Ct_teunissen https://t.co/KDlF7qs0g2,no,opposition,left,progressive
40,GroenLinks,2022,2022-02-12,"""Piketty zei het al: kapitaal groeit altijd harder dan inkomen.Je wordt altijd rijker als je iets bezit dan dat je werkt.In Nederland wordt deze ongelijkheid met politiek beleid extra versterkt. Want kapitaal wordt hier bijna niet belast.""- @jesseklaver #GroenLinksCongres",no,opposition,left,progressive
41,D66,2022,2022-10-19,@knoeier @Paul_van_Meenen @lobkevlaming @lbvso @OudersOnderwijs Meer hierover kun je hier lezen: https://t.co/BMRXVJkAwG,no,coalition,middle,progressive
42,GroenLinks,2022,2022-02-23,“Wij staan voor een overheid die uitgaat van vertrouwen. Een overheid die je niet opjaagt maar die je  gewoon de hulp biedt waar je recht op hebt.”20 wethouders van GroenLinks door het hele land pleiten voor een wijziging van de Participatiewet: https://t.co/7GQYPlHGWS,no,opposition,left,progressive
43,BBB,2022,2022-02-01,@dannytalks @2eKamertweets @SPnl @BVNLNederland @fvdemocratie @estherouwehand zou mooi zijn dat het er nooit gaat komen ja,yes,opposition,right,conservative
44,PvdA,2022,2022-09-18,Er moet dít jaar nog een #prijsplafond komen voor de stijgende energierekening. Want dát maakt het verschil tussen wel of niet kunnen douchen. Dát maakt het verschil tussen wel of niet de kachel aanzetten. @attjekuiken roept het kabinet op om in actie te komen. ⤵️ https://t.co/53ICWNlWxt,no,opposition,left,progressive
45,CDA,2022,2022-12-16,Vier fractievoorzitters keken bij @op1npo terug op een woelig politiek jaar.Waar lag onze fractievoorzitter @PieterHeerma  echt wakker van? 👇 https://t.co/MBI6LZiwon,no,coalition,middle,conservative
46,SP,2022,2022-11-21,Door het hele land organiseert de SP bijeenkomsten om in gesprek te gaan over onze volkspetitie voor het nationaliseren van onze energie.⚡️Op het kaartje kun je zien wanneer er in jouw buurt een bijeenkomst is. Kom ook en meld je aan via.👇https://t.co/EenPNp83T3 https://t.co/Y1ncWzA79D,yes,opposition,left,progressive
47,GroenLinks,2022,2022-03-16,WOW. In de exit-poll van Rotterdam is GroenLinks de TWEEDE PARTIJ van de stad! Het beste resultaat in Rotterdam OOIT! 😱#gemeenteraadsverkiezingen2022,no,opposition,left,progressive
48,VVD,2022,2022-10-18,We moeten doen wat nodig is om onze natuur schoon door te geven aan volgende generaties. Minister voor Natuur en Stikstof @ChristianneWal bij Jinek. 👇 https://t.co/i2lOX1VCAx,no,coalition,right,conservative
49,PVV,2023,2023-01-15,Goedemorgen Nederland ❤️ https://t.co/v0oWXt96Q9,yes,opposition,right,conservative
50,FvD,2023,2023-03-01,Geen woke-indoctrinatie. Kan gewoon. Stem #FVD 15 maart. https://t.co/DSCDDJcgYX,yes,opposition,right,conservative
51,BBB,2022,2022-04-06,"Nieuwe, correcte link naar het document:https://t.co/APGgEl87xNOverzicht alle documenten:https://t.co/DszqBQtONW",yes,opposition,right,conservative
52,Volt,2022,2022-07-22,De EU weigerde om in de slotverklaring van de EU-AU top op te nemen dat Afrikaanse leiders hun gasvoorraden gebruiken terwijl ze investeren in de energietransitie. Nu kloppen Europese leiders aan voor Afrikaans gas. Wat is er met de klimaatdoelen gebeurd? https://t.co/vd0XtvmVSv,no,opposition,middle,progressive
53,SP,2022,2022-08-17,Kom 17 september naar het PrinsjesdagProtest! 💪🍅Het kabinet laat mensen keihard vallen. Daarom komen wij het weekend voor Prinsjesdag in actie. Doe mee en meld je aan.👇https://t.co/kz6Y7USSNf,yes,opposition,left,progressive
54,Volt,2022,2022-11-15,Met zo’n wet krijgen rechtbanken de mogelijkheid om:👉 bestuurders van anti-democratische partijen aan te pakken; 👉 een partijverbod uit te roepen.,no,opposition,middle,progressive
55,BBB,2022,2022-02-09,@jwlestra @lientje1967 we blijven er voor strijden!,yes,opposition,right,conservative
56,BBB,2022,2022-01-19,Hele inbreng van Fractievoorzitter @lientje1967 komt in de ochtend online te staan. Houd onze sociale media in de gaten. Einde draad! 16/16,yes,opposition,right,conservative
57,PvdD,2022,2022-01-26,@MaaikeKemmink @EvavanEsch Daarnaast zijn we een voorstander van vaccinatie. Vaccineren helpt tegen (ernstige) ziekte en sterfte door het coronavirus. Het moet wel een vrije keuze zijn voor iedereen en men mag niet uitgesloten worden van maatschappelijke activiteiten. Daarom zijn wij tegen de coronapas.,no,opposition,left,progressive
58,D66,2022,2022-03-16,@PeterJGerrits Bedankt voor je stem! 👊 ^Kim #StemD66,no,coalition,middle,progressive
59,PVV,2022,2022-03-30,Asieldwang. Waanzin. Nederland is al bomvol.Maak maar plaats door illegalen en al die gelukzoekers uit Afrika en het Midden-Oosten ons land uit te zetten! https://t.co/wv8DisEaMz,yes,opposition,right,conservative
60,SGP,2022,2022-12-23,Goed nieuws vanuit de Tweede Kamer! Gisteren werd er voor het laatst in 2022 gestemd over moties die ingediend zijn tijdens diverse debatten. Daarbij zijn onder andere deze moties van @BisschopRoelof aangenomen.1/4 https://t.co/kReFTsJiMt,no,opposition,right,conservative
61,VVD,2022,2022-11-24,Minister voor Primair en Voortgezet Onderwijs @DennisWiersma werd ondervraagd bij het Kindervragenuurtje. Want hoe zit dat met de werkdruk van leraren? 👇 https://t.co/EiXXVO0yVC,no,coalition,right,conservative
62,DENK,2022,2022-06-06,En kijk @tunahankuzu eens gaan!,no,opposition,left,progressive
63,BBB,2022,2022-06-27,"'De uitspraak van de rechter ging niet over stikstof en over de kritische depositiewaarde, maar over het toepassen van de programmatische aanpak stikstof (PAS).'https://t.co/B2wTDpEbZp",yes,opposition,right,conservative
64,FvD,2023,2023-02-08,"Schaalvergroting. Het kartel is geobsedeerd met het idee dat groter ook beter is. In de zorg, in het onderwijs, in de politiek, etc. Het toonbeeld van deze 'microfobie' is de annexatie van Haren door Groningen. #FVD wil deze fusie z.s.m. terugdraaien. https://t.co/Uv5v5AbBqo",yes,opposition,right,conservative
65,BBB,2022,2022-01-12,"@RaoulTheGerman @LauraBromet We waren al bezig met een plan om de wormen te beschermen tegen merels, maar dit kunnen we nog net op tijd meenemen. We overwegen nog een luizenprotectieplan maar onze honden en katten protesteren nogal 🤣",yes,opposition,right,conservative
66,FvD,2022,2022-01-14,De ‘Chinaficatie’ van Europa voltrekt zich voor onze ogen. Wat inspireert westerse regeringen om over te stappen naar het totalitaire model van de CCP? Michael P. Senger bespreekt de innige relatie van de CCP met de westerse elite. #FVD https://t.co/YnqN102oTT,yes,opposition,right,conservative
67,BBB,2022,2022-08-09,"“Geen begrip om tienduizenden boerenbedrijven toekomst te ontnemen, op basis van ’slechte wetenschap’ en radicaal groene ideologie.”",yes,opposition,right,conservative
68,FvD,2022,2022-05-17,Namens #FVD heeft @PvanHouwelingen een motie ingediend om alle onterecht bij hun ouders weggehaalde kinderen terug naar huis te brengen. Er wordt vanmiddag hoofdelijk over gestemd. Dan gaat blijken wie werkelijk een einde wil maken aan het leed en wie niet. #toeslagenschandaal https://t.co/xemL1UNIRE,yes,opposition,right,conservative
69,JA21,2023,2023-02-18,"#Rutte verzint een ‘linkse wolk’, #Kaag jokt over een ‘alliantie’ op rechts: dat ‘Nieuwe Leiderschap’ speelt ouderwets paniekvoetbal en polariseert er op los. Een ‘alliantie’ is nepnieuws. #HetMoetEchtAnders https://t.co/Ea8jtDBFg3",yes,opposition,right,conservative
70,JA21,2022,2022-12-19,Elrie Bakker lijsttrekker JA21 Gelderland! https://t.co/x88FC4JdhI,yes,opposition,right,conservative
71,FvD,2022,2022-07-09,"De achtergrond van het conflict in Oekraïne, alle belanghebbende partijen en de toekomst van het Europese continent. Morgen gaan we in discussie bij ons symposium in Amsterdam! Het wordt een geweldige dag met binnen- en buitenlandse sprekers. Tickets: https://t.co/OebYXyDlMf #FVD https://t.co/RUjwjUy6iM",yes,opposition,right,conservative
72,GroenLinks,2022,2022-10-08,@JeltjevanN Van harte welkom! 💚,no,opposition,left,progressive
73,VVD,2022,2022-01-24,Vandaag blazen we 74 kaarsjes uit want we zijn #jarig! 🎈Sluit je ook aan bij de VVD en word lid 👉  https://t.co/BunWLDKPyOOf kom bij ons werken 👉  https://t.co/F0dJuO9VzG https://t.co/oY3sOuLVWl,no,coalition,right,conservative
74,BBB,2022,2022-12-07,"@SchipholWatch @D66 @christenunie Deze twee vliegvelden zijn van groot belang voor de regio, zoals bijvoorbeeld voor de orgaantransporten van het Universitair Medisch Centrum Groningen. Dit heeft niets te maken met stikstofaankopen door de Schiphol Group.",yes,opposition,right,conservative
75,DENK,2022,2022-07-18,@RookieCrptRoost @F_azarkan D66 gaf tijdens het debat (zie video hierboven) aan de deal en de discutabele informatie er omheen ‘ongemakkelijk’ te vinden. Voor DENK is de rechtsstaat niet onderhandelbaar. De vraag is dus in hoeverre D66 achter de rechtsstaat staat of achter coalitie.,no,opposition,left,progressive
76,BBB,2022,2022-04-26,"Zij willen graag aan het werk, maar dit is helaas niet altijd meteen mogelijk. Zij lopen tegen bijvoorbeeld tegen problemen aan bij het openen van een bankrekening. 5/",yes,opposition,right,conservative
77,ChristenUnie,2022,2022-03-24,"@LuciaHardonk @ReddeVeluwe @atdekker1 @mirjambikker @gertjansegers @eppobruins Hi Lucia, de ChristenUnie is nooit een voorstander geweest van de opening Lelystad Airport. Die lijn is onveranderd. In het coalitieakkoord is afgesproken wat de voorwaarden zijn waaronder Lelystad Airport al dan niet open kan. (1/2)",no,opposition,left,middle
78,SP,2023,2023-03-02,"Verlaag de prijzen. Het is toch te gek voor woorden dat gewone mensen hun laatste centen moeten ophoesten voor boodschappen, terwijl de supermarktketens zoals Ahold woekerwinsten maken voor de bestuurders en aandeelhouders? Het kan en moet anders. https://t.co/RjIvMdiAZN",yes,opposition,left,progressive
79,PVV,2022,2022-12-17,Totaal gestoord. Knettergek.#slavernijverleden https://t.co/HwvBRf6kvx,yes,opposition,right,conservative
80,PvdA,2023,2023-03-07,Het klimaat verandert. De zeespiegel stijgt en extreem weer komt steeds vaker voor. Dat raakt ons allemaal.Daarom hebben we samen met @groenlinks een plan voor een sociaal en groen Nederland. 🌹🌱Je leest er hier alles over. ⤵️https://t.co/vpAvevFMfU,no,opposition,left,progressive
81,SP,2023,2023-01-08,SP’ers in het hele land zijn dit weekend in de buurt om met mensen in gesprek te gaan over de hoge rekeningen en het nationaliseren van onze energie  💪.Kom jij ook naar het Volksprotest op 11 februari? https://t.co/gQx4hjLqMD https://t.co/59RE2uOdrU,yes,opposition,left,progressive
82,SGP,2023,2023-02-28,"@hjaruissen, veel wijsheid en bovenal Gods zegen toegewenst in aanloop naar deze belangrijke verkiezingen!",no,opposition,right,conservative
83,BIJ1,2022,2022-03-12,"Woon je buiten een van deze gemeenten, maar wil je toch bijdragen? Doneer dan via https://t.co/LOkNhfqVPV",no,opposition,left,progressive
84,PVV,2022,2022-01-30,Goedemorgen Nederland! https://t.co/Qv0LuOcdOf,yes,opposition,right,conservative
85,BBB,2022,2022-08-15,"De capitulatie was ook het startschot voor de Bersiap, een periode van ongekend geweld tegen Indische-Nederlanders, Chinezen, Molukkers en andere groepen.Tot op de dag van vandaag laat de Tweede Wereldoorlog in Nederlands-Indië diepe wonden na in de Nederlandse samenleving   3/6",yes,opposition,right,conservative
86,CDA,2023,2023-02-06,De Johan Willem Frisokazerne in Assen blijft! Al meer dan 10 jaar komt het #CDA op voor het behoud van de #kazerne in Drenthe.Zo zorgen we voor werkgelegenheid #VoorHeelNederland.Met @AgnesMulderCDA. https://t.co/FDQooqXIGm,no,coalition,middle,conservative
87,Volt,2022,2022-01-29,"@HenriketerH @MRvanBalken @ngundogan77 Hoi Henrike, heb je je geregistreerd op Hopin? Als het goed is, heb je dan een mail gehad waarmee je naar het evenement kan. Ik hoor graag of het lukt! ^Mylène",no,opposition,middle,progressive
88,FvD,2022,2022-03-23,"Na 660 dagen vervalt de mondkapjesplicht. Toch dragen sommige mensen er nog eentje. Zij zijn 2 jaar lang bestookt met leugens en geloven écht in de noodzaak. Pijnlijk om te zien. Maar nog pijnlijker: de rest droeg hem tegen beter weten in, alléén omdat de overheid het zei. #FVD",yes,opposition,right,conservative
89,DENK,2022,2022-05-25,Het ministerie van VWS had geen respect voor de onafhankelijkheid van het OMT. Keer op keer veranderden ambtenaren Corona-adviezen van het OMT. #OMTdebat @tunahankuzu https://t.co/etFuiCkufA,no,opposition,left,progressive
90,PvdD,2022,2022-06-14,"@liliannetju In Nispen is ruim 111.000 m2 landbouwgrond te koop. Wij willen deze grond omvormen tot een vluchtheuvel voor dieren, natuur en milieu. Zo zorgen we voor de uitbreiding van het Natuurnetwerk Brabant én geven we een signaal af aan het kabinet dat de tijd van afwachten voorbij is.",no,opposition,left,progressive
91,Volt,2022,2022-07-28,"#5 'Als iedereen zou leven als een Nederlander, zouden er 3,6 aardes nodig zijn. […] Zo omvat voedsel 33% van de Nederlandse voetafdruk, waarvan 20% vleesconsumptie. Zouden Nederlanders de helft minder vlees eten, dan gaat de voetafdruk met 10% omlaag.'https://t.co/rEYUm6ZsMi",no,opposition,middle,progressive
92,BBB,2022,2022-08-02,@Bas72 @ChrisAalberts Is ook gebeurd. Gewoon ff onze berichten terugkijken.,yes,opposition,right,conservative
93,D66,2022,2022-09-21,"@Bartje1963 @hansgldnl @RobJetten In Nederland komt het grootste deel van de stikstofuitstoot voort uit de landbouw. Wel 61%, waarvan een groot gedeelte uit de intensieve veehouderij. Dat is enorm en niet langer houdbaar. Alles over stikstof lees je hier: https://t.co/0XImJrIGum ^Noa",no,coalition,middle,progressive
94,VVD,2022,2022-12-02,“Criminaliteit voorkom je aan de keukentafel.”Tweede Kamerlid @RuudVerkuijlen over zijn voorstel. 👇https://t.co/11KvXka7zG,no,coalition,right,conservative
95,PvdA,2022,2022-03-08,"Zijn we er dan met deze wet? Nee, zeker niet. Want er moet veel meer gebeuren om de woningnood op te lossen. Daarom lanceerden we onlangs ook ons woonmanifest, met concrete oplossingen om wonen weer betaalbaar te maken voor iedereen. Lees meer: https://t.co/R7bLRpE4B0 https://t.co/EyfgFUs9EW",no,opposition,left,progressive
96,FvD,2022,2022-11-27,"We zijn nummer 1! En nu: netwerk uitbreiden, aansluiting vinden bij elkaar en de Forum App tot een overweldigend succes maken! Download de app ook en word onderdeel van onze familie: https://t.co/qlgf8OExpH #FVD https://t.co/wbvOBooVyO",yes,opposition,right,conservative
97,DENK,2022,2022-06-02,Deze motie vraagt om een extern onafhankelijk onderzoek naar het buiten de wet uitvoeren van activiteiten door de NCTV. De motie werd verworpen. Onderstaand kun je zien welke partijen voor of tegen hebben gestemd. #NCTV https://t.co/fHKxVjJC7E,no,opposition,left,progressive
98,PVV,2023,2023-02-04,En ondertussen maken de gasten van Kaag en Rutte Nederland met de dag onveiliger. #stemzeweg #StemPVV,yes,opposition,right,conservative
99,DENK,2023,2023-01-24,#DENK presenteert ervaren politicus @CelikM010 als #lijsttrekker voor de Eerste Kamer. Daarnaast zal Metin ook de lijst aanvoeren namens DENK in Zuid-Holland. Lees meer 👇 https://t.co/QvHm3pm3Ys#StemDENK #PS23 #provincialestaten #verkiezingen https://t.co/QeTDi52Gah,no,opposition,left,progressive
100,BBB,2022,2022-09-21,@mathijsbouman @LamyaeA De hogere energieprijzen begonnen al veel eerder. De oorlog in Oekraïne wordt telkens gebruikt als excuus voor ellende die al eerder aan de gang was.... Dat is ons punt. Dus stoppen met het benoemen van Oekraïne als bliksemafleider voor eigen falen/wachten... https://t.co/IpkW61KpUu,yes,opposition,right,conservative
101,BBB,2022,2022-07-19,@DinantvdBelt Je stelde geen open vraag maar gaf een opdracht...,yes,opposition,right,conservative
102,BIJ1,2023,2023-01-24,"""Het proces in Griekenland staat overigens niet op zichzelf. Het is het gevolg van het Europese beleid dat inhumaan en onsolidair is. Landen aan de buitengrenzen van Europa zoals Griekenland en Italië duwen, gesteund door de EU, mensen met geweld terug.""",no,opposition,left,progressive
103,BBB,2022,2022-07-17,@YpeSmid @lientje1967 @dr_janneke @HermanToonde Nee het gaat om mensen die al lang geleden van vorige kabinetten generaal pardon gekregen hebben...En wij zijn voor het nakomen van toezeggingen en afspraken...,yes,opposition,right,conservative
104,PVV,2022,2022-12-20,Geland! Terug in Nederland uit Helsinki waar ik was voor een TV-optreden en nu van Schiphol op weg naar de Tweede Kamer. https://t.co/myHgwKTqim,yes,opposition,right,conservative
105,PVV,2023,2023-02-15,Honderd procent steun voor de bedreigde en bespuugde buschauffeurs. De asielgasten van Kaag en Rutte misdragen zich overal. Laten we eindelijk een #asielstop invoeren! Nederland zit al bomvol en heeft géén behoefte aan dit schorriemorrie. #StemPVV #PVV #grenzendicht,yes,opposition,right,conservative
106,PvdA,2022,2022-12-01,Onze kandidaten voor de Eerste Kamer: https://t.co/QYW18vvhgn,no,opposition,left,progressive
107,BBB,2022,2022-07-15,@SvenBorealis Energie- en voedsel- en grondstoffenprijzen zijn sinds vorig jaar oktober al aan het stijgen...,yes,opposition,right,conservative
108,PvdD,2022,2022-03-15,6️⃣ Iedereen moet veilig over straat kunnen!  🏳️‍🌈 Hierbij wordt extra aandacht besteed aan vrouwen en LHBTQIA+-personen. ❌ Straatintimidatie wordt aangepakt. #100redenen om #PvdD te stemmen #GR2022 #allekleinebeestjeshelpen,no,opposition,left,progressive
109,PvdD,2022,2022-02-23,7️⃣2️⃣ Inwoners die door hoge energiekosten en een laag inkomen geen geld hebben voor energiemaatregelen krijgen ondersteuning van hun gemeente.#energiearmoede ❌100 redenen om #PvdD te stemmen #GR2022 #allekleinebeestjeshelpen,no,opposition,left,progressive
110,Volt,2022,2022-12-05,Goed nieuws: de #EU maakt geld vrij voor de spoorlijn tussen Groningen en Lelystad. Dit zorgt voor beter woon-werkverkeer én straks ook voor treinreizen naar Duitsland en Scandinavië. Zo wordt Europese samenwerking concreet in de provincie.#PS23 https://t.co/iGS92ieXfn,no,opposition,middle,progressive
111,Volt,2022,2022-08-10,#14 Soms komt innovatie vanuit een verrassende hoek. Kunstgrasvelden - zonder schadelijk rubber - die hittestress tegengaan; het kan! Het geheim? Een ondergronds waterreservoir. In Amsterdam en Japan gebeurt het al. Where next? https://t.co/V1HrKikb8D,no,opposition,middle,progressive
